t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1462673475.353031,-4612991.249195,-554117.896935,4355342.585330,40.417094,-337.200580,-0.093030
1462673565.353031,-4609254.151586,-584453.795161,4355333.956409,42.629215,-336.928066,-0.098730
1462673655.353031,-4605318.044978,-614764.513983,4355324.814682,44.839500,-336.641040,-0.104425
1462673745.353031,-4601183.098906,-645048.747872,4355315.160543,47.047854,-336.339514,-0.110116
1462673835.353031,-4596849.491467,-675305.192439,4355304.994408,49.254181,-336.023501,-0.115803
1462673925.353031,-4592317.409317,-705532.544491,4355294.316713,51.458387,-335.693016,-0.121484
1462674015.353031,-4587587.047660,-735729.502091,4355283.127920,53.660377,-335.348072,-0.127160
1462674105.353031,-4582658.610239,-765894.764608,4355271.428510,55.860055,-334.988683,-0.132831
1462674195.353031,-4577532.309331,-796027.032778,4355259.218986,58.057328,-334.614866,-0.138496
1462674285.353031,-4572208.365732,-826125.008757,4355246.499876,60.252099,-334.226637,-0.144155
1462674375.353031,-4566687.008754,-856187.396180,4355233.271726,62.444276,-333.824012,-0.149808
1462674465.353031,-4560968.476209,-886212.900211,4355219.535106,64.633763,-333.407009,-0.155454
1462674555.353031,-4555053.014404,-916200.227608,4355205.290609,66.820466,-332.975646,-0.161094
1462674645.353031,-4548940.878127,-946148.086768,4355190.538847,69.004291,-332.529940,-0.166727
1462674735.353031,-4542632.330636,-976055.187792,4355175.280455,71.185144,-332.069913,-0.172352
1462674825.353031,-4536127.643652,-1005920.242534,4355159.516091,73.362931,-331.595582,-0.177970
1462674915.353031,-4529427.097340,-1035741.964660,4355143.246435,75.537558,-331.106969,-0.183581
1462675005.353031,-4522530.980304,-1065519.069702,4355126.472186,77.708931,-330.604095,-0.189183
1462675095.353031,-4515439.589570,-1095250.275115,4355109.194067,79.876958,-330.086981,-0.194778
1462675185.353031,-4508153.230576,-1124934.300329,4355091.412822,82.041544,-329.555650,-0.200364
1462675275.353031,-4500672.217155,-1154569.866808,4355073.129218,84.202596,-329.010124,-0.205941
1462675365.353031,-4492996.871527,-1184155.698101,4355054.344041,86.360022,-328.450427,-0.211510
1462675455.353031,-4485127.524281,-1213690.519901,4355035.058100,88.513728,-327.876584,-0.217069
1462675545.353031,-4477064.514362,-1243173.060098,4355015.272227,90.663622,-327.288618,-0.222619
1462675635.353031,-4468808.189056,-1272602.048833,4354994.987274,92.809610,-326.686555,-0.228160
1462675725.353031,-4460358.903975,-1301976.218554,4354974.204113,94.951601,-326.070422,-0.233690
1462675815.353031,-4451717.023044,-1331294.304071,4354952.923641,97.089503,-325.440244,-0.239211
1462675905.353031,-4442882.918482,-1360555.042606,4354931.146774,99.223222,-324.796049,-0.244721
1462675995.353031,-4433856.970788,-1389757.173857,4354908.874449,101.352668,-324.137865,-0.250221
1462676085.353031,-4424639.568722,-1418899.440041,4354886.107627,103.477749,-323.465719,-0.255710
1462676175.353031,-4415231.109292,-1447980.585955,4354862.847287,105.598372,-322.779641,-0.261188
1462676265.353031,-4405631.997736,-1476999.359031,4354839.094432,107.714447,-322.079661,-0.266654
1462676355.353031,-4395842.647502,-1505954.509384,4354814.850084,109.825883,-321.365808,-0.272110
1462676445.353031,-4385863.480233,-1534844.789872,4354790.115288,111.932589,-320.638114,-0.277553
1462676535.353031,-4375694.925746,-1563668.956145,4354764.891109,114.034473,-319.896609,-0.282985
1462676625.353031,-4365337.422018,-1592425.766701,4354739.178633,116.131446,-319.141325,-0.288404
1462676715.353031,-4354791.415161,-1621113.982941,4354712.978968,118.223416,-318.372296,-0.293811
1462676805.353031,-4344057.359409,-1649732.369219,4354686.293243,120.310295,-317.589554,-0.299205
1462676895.353031,-4333135.717094,-1678279.692897,4354659.122607,122.391992,-316.793133,-0.304587
1462676985.353031,-4322026.958628,-1706754.724396,4354631.468229,124.468417,-315.983067,-0.309955
1462677075.353031,-4310731.562482,-1735156.237254,4354603.331302,126.539481,-315.159391,-0.315310
1462677165.353031,-4299250.015167,-1763483.008173,4354574.713037,128.605095,-314.322141,-0.320651
1462677255.353031,-4287582.811210,-1791733.817075,4354545.614666,130.665169,-313.471352,-0.325979
1462677345.353031,-4275730.453137,-1819907.447155,4354516.037443,132.719616,-312.607062,-0.331292
1462677435.353031,-4263693.451446,-1848002.684931,4354485.982642,134.768346,-311.729307,-0.336591
1462677525.353031,-4251472.324590,-1876018.320296,4354455.451558,136.811272,-310.838126,-0.341876
1462677615.353031,-4239067.598952,-1903953.146575,4354424.445505,138.848304,-309.933556,-0.347146
1462677705.353031,-4226479.808822,-1931805.960571,4354392.965818,140.879357,-309.015637,-0.352401
1462677795.353031,-4213709.496377,-1959575.562620,4354361.013854,142.904341,-308.084408,-0.357641
1462677885.353031,-4200757.211652,-1987260.756644,4354328.590989,144.923171,-307.139910,-0.362865
1462677975.353031,-4187623.512523,-2014860.350196,4354295.698619,146.935758,-306.182182,-0.368074
1462678065.353031,-4174308.964680,-2042373.154521,4354262.338162,148.942017,-305.211267,-0.373267
1462678155.353031,-4160814.141599,-2069797.984599,4354228.511053,150.941860,-304.227206,-0.378444
1462678245.353031,-4147139.624524,-2097133.659201,4354194.218750,152.935202,-303.230041,-0.383605
1462678335.353031,-4133286.002438,-2124379.000936,4354159.462730,154.921957,-302.219816,-0.388749
1462678425.353031,-4119253.872037,-2151532.836305,4354124.244490,156.902040,-301.196574,-0.393876
1462678515.353031,-4105043.837707,-2178593.995752,4354088.565547,158.875364,-300.160359,-0.398986
1462678605.353031,-4090656.511496,-2205561.313709,4354052.427437,160.841845,-299.111215,-0.404080
1462678695.353031,-4076092.513089,-2232433.628653,4354015.831717,162.801399,-298.049188,-0.409155
1462678785.353031,-4061352.469780,-2259209.783152,4353978.779963,164.753940,-296.974324,-0.414213
1462678875.353031,-4046437.016444,-2285888.623914,4353941.273772,166.699385,-295.886668,-0.419254
1462678965.353031,-4031346.795514,-2312469.001842,4353903.314758,168.637650,-294.786269,-0.424276
1462679055.353031,-4016082.456949,-2338949.772077,4353864.904557,170.568652,-293.673172,-0.429280
1462679145.353031,-4000644.658208,-2365329.794051,4353826.044822,172.492307,-292.547426,-0.434265
1462679235.353031,-3985034.064220,-2391607.931537,4353786.737228,174.408533,-291.409080,-0.439232
1462679325.353031,-3969251.347358,-2417783.052693,4353746.983468,176.317246,-290.258183,-0.444180
1462679415.353031,-3953297.187407,-2443854.030117,4353706.785253,178.218366,-289.094783,-0.449109
1462679505.353031,-3937172.271539,-2469819.740892,4353666.144316,180.111809,-287.918932,-0.454018
1462679595.353031,-3920877.294279,-2495679.066635,4353625.062407,181.997494,-286.730680,-0.458908
1462679685.353031,-3904412.957475,-2521430.893543,4353583.541295,183.875341,-285.530078,-0.463778
1462679775.353031,-3887779.970273,-2547074.112447,4353541.582768,185.745267,-284.317177,-0.468628
1462679865.353031,-3870979.049082,-2572607.618852,4353499.188634,187.607194,-283.092031,-0.473458
1462679955.353031,-3854010.917542,-2598030.312992,4353456.360719,189.461039,-281.854691,-0.478268
1462680045.353031,-3836876.306498,-2623341.099872,4353413.100867,191.306725,-280.605212,-0.483057
1462680135.353031,-3819575.953963,-2648538.889317,4353369.410942,193.144171,-279.343646,-0.487825
1462680225.353031,-3802110.605091,-2673622.596018,4353325.292826,194.973297,-278.070049,-0.492572
1462680315.353031,-3784481.012142,-2698591.139583,4353280.748418,196.794026,-276.784475,-0.497298
1462680405.353031,-3766687.934449,-2723443.444577,4353235.779638,198.606278,-275.486979,-0.502002
1462680495.353031,-3748732.138387,-2748178.440573,4353190.388421,200.409977,-274.177617,-0.506685
1462680585.353031,-3730614.397341,-2772795.062196,4353144.576724,202.205043,-272.856447,-0.511346
1462680675.353031,-3712335.491669,-2797292.249170,4353098.346520,203.991400,-271.523523,-0.515985
1462680765.353031,-3693896.208673,-2821668.946365,4353051.699799,205.768971,-270.178905,-0.520602
1462680855.353031,-3675297.342560,-2845924.103837,4353004.638570,207.537679,-268.822650,-0.525196
1462680945.353031,-3656539.694414,-2870056.676879,4352957.164862,209.297448,-267.454817,-0.529768
1462681035.353031,-3637624.072154,-2894065.626065,4352909.280718,211.048202,-266.075463,-0.534317
1462681125.353031,-3618551.290506,-2917949.917291,4352860.988201,212.789866,-264.684650,-0.538843
1462681215.353031,-3599322.170964,-2941708.521825,4352812.289391,214.522365,-263.282436,-0.543345
1462681305.353031,-3579937.541756,-2965340.416346,4352763.186386,216.245624,-261.868882,-0.547825
1462681395.353031,-3560398.237808,-2988844.582992,4352713.681300,217.959569,-260.444049,-0.552280
1462681485.353031,-3540705.100709,-3012220.009402,4352663.776266,219.664126,-259.007998,-0.556712
1462681575.353031,-3520858.978671,-3035465.688761,4352613.473433,221.359222,-257.560791,-0.561120
1462681665.353031,-3500860.726498,-3058580.619841,4352562.774968,223.044784,-256.102491,-0.565504
1462681755.353031,-3480711.205546,-3081563.807047,4352511.683055,224.720739,-254.633160,-0.569863
1462681845.353031,-3460411.283686,-3104414.260456,4352460.199894,226.387014,-253.152862,-0.574198
1462681935.353031,-3439961.835267,-3127130.995865,4352408.327702,228.043539,-251.661659,-0.578508
1462682025.353031,-3419363.741079,-3149713.034828,4352356.068715,229.690242,-250.159618,-0.582793
1462682115.353031,-3398617.888312,-3172159.404702,4352303.425182,231.327051,-248.646802,-0.587054
1462682205.353031,-3377725.170523,-3194469.138688,4352250.399371,232.953897,-247.123276,-0.591288
1462682295.353031,-3356686.487595,-3216641.275870,4352196.993567,234.570710,-245.589106,-0.595498
1462682385.353031,-3335502.745695,-3238674.861261,4352143.210069,236.177419,-244.044358,-0.599681
1462682475.353031,-3314174.857239,-3260568.945839,4352089.051193,237.773955,-242.489099,-0.603839
1462682565.353031,-3292703.740854,-3282322.586593,4352034.519274,239.360250,-240.923395,-0.607971
1462682655.353031,-3271090.321333,-3303934.846560,4351979.616659,240.936236,-239.347315,-0.612077
1462682745.353031,-3249335.529600,-3325404.794865,4351924.345713,242.501844,-237.760925,-0.616156
1462682835.353031,-3227440.302668,-3346731.506766,4351868.708817,244.057007,-236.164295,-0.620209
1462682925.353031,-3205405.583597,-3367914.063688,4351812.708367,245.601658,-234.557493,-0.624235
1462683015.353031,-3183232.321457,-3388951.553265,4351756.346775,247.135730,-232.940588,-0.628234
1462683105.353031,-3160921.471285,-3409843.069380,4351699.626470,248.659159,-231.313650,-0.632206
1462683195.353031,-3138473.994044,-3430587.712203,4351642.549893,250.171877,-229.676748,-0.636151
1462683285.353031,-3115890.856581,-3451184.588231,4351585.119503,251.673819,-228.029955,-0.640068
1462683375.353031,-3093173.031587,-3471632.810323,4351527.337774,253.164922,-226.373339,-0.643958
1462683465.353031,-3070321.497554,-3491931.497744,4351469.207195,254.645121,-224.706974,-0.647821
1462683555.353031,-3047337.238732,-3512079.776198,4351410.730269,256.114351,-223.030930,-0.651655
1462683645.353031,-3024221.245090,-3532076.777866,4351351.909516,257.572551,-221.345280,-0.655461
1462683735.353031,-3000974.512269,-3551921.641448,4351292.747468,259.019656,-219.650096,-0.659239
1462683825.353031,-2977598.041542,-3571613.512194,4351233.246674,260.455605,-217.945451,-0.662989
1462683915.353031,-2954092.839769,-3591151.541945,4351173.409697,261.880336,-216.231419,-0.666710
