t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1461490839.934000,4158282.994259,998525.943003,4716808.535995,-72.801776,302.342237,0.176776
1461490844.934000,4157918.709819,1000037.587723,4716809.420584,-72.912006,302.315673,0.177060
1461490849.934000,4157553.874250,1001549.099521,4716810.306594,-73.022227,302.289069,0.177344
1461490854.934000,4157188.487601,1003060.478198,4716811.194023,-73.132438,302.262424,0.177628
1461490859.934000,4156822.549921,1004571.723552,4716812.082873,-73.242640,302.235740,0.177912
1461490864.934000,4156456.061259,1006082.835382,4716812.973142,-73.352831,302.209015,0.178196
1461490869.934000,4156089.021662,1007593.813487,4716813.864832,-73.463013,302.182250,0.178480
1461490874.934000,4155721.431181,1009104.657667,4716814.757941,-73.573185,302.155444,0.178764
1461490879.934000,4155353.289863,1010615.367720,4716815.652469,-73.683348,302.128599,0.179048
1461490884.934000,4154984.597758,1012125.943446,4716816.548417,-73.793500,302.101714,0.179332
1461490889.934000,4154615.354915,1013636.384644,4716817.445785,-73.903643,302.074788,0.179616
1461490894.934000,4154245.561383,1015146.691113,4716818.344571,-74.013776,302.047822,0.179900
1461490899.934000,4153875.217210,1016656.862653,4716819.244777,-74.123899,302.020816,0.180183
1461490904.934000,4153504.322447,1018166.899062,4716820.146401,-74.234012,301.993770,0.180467
1461490909.934000,4153132.877142,1019676.800140,4716821.049445,-74.344116,301.966684,0.180751
1461490914.934000,4152760.881345,1021186.565686,4716821.953907,-74.454209,301.939557,0.181035
1461490919.934000,4152388.335106,1022696.195499,4716822.859788,-74.564293,301.912391,0.181318
1461490924.934000,4152015.238473,1024205.689379,4716823.767087,-74.674366,301.885184,0.181602
1461490929.934000,4151641.591497,1025715.047126,4716824.675805,-74.784430,301.857937,0.181886
1461490934.934000,4151267.394227,1027224.268537,4716825.585941,-74.894484,301.830650,0.182169
1461490939.934000,4150892.646712,1028733.353414,4716826.497495,-75.004528,301.803323,0.182453
