t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1454839558.880000,2390210.329776,-3545193.089994,4716864.129154,258.530535,173.418926,-0.665438
1454839563.880000,2391502.824466,-3544325.759737,4716860.802297,258.467289,173.513176,-0.665280
1454839568.880000,2392795.002838,-3543457.958285,4716857.476230,258.404008,173.607404,-0.665121
1454839573.880000,2394086.864720,-3542589.685753,4716854.150955,258.340692,173.701608,-0.664963
1454839578.880000,2395378.409939,-3541720.942258,4716850.826471,258.277343,173.795789,-0.664805
1454839583.880000,2396669.638325,-3540851.727914,4716847.502779,258.213959,173.889947,-0.664646
1454839588.880000,2397960.549705,-3539982.042836,4716844.179879,258.150541,173.984082,-0.664488
1454839593.880000,2399251.143909,-3539111.887142,4716840.857773,258.087088,174.078194,-0.664329
1454839598.880000,2400541.420764,-3538241.260946,4716837.536459,258.023601,174.172283,-0.664170
1454839603.880000,2401831.380098,-3537370.164363,4716834.215939,257.960080,174.266349,-0.664012
1454839608.880000,2403121.021742,-3536498.597511,4716830.896214,257.896525,174.360391,-0.663853
1454839613.880000,2404410.345522,-3535626.560504,4716827.577283,257.832935,174.454410,-0.663694
1454839618.880000,2405699.351267,-3534754.053458,4716824.259147,257.769311,174.548406,-0.663535
1454839623.880000,2406988.038807,-3533881.076491,4716820.941807,257.705653,174.642379,-0.663376
1454839628.880000,2408276.407970,-3533007.629717,4716817.625263,257.641960,174.736329,-0.663216
1454839633.880000,2409564.458585,-3532133.713252,4716814.309515,257.578233,174.830255,-0.663057
1454839638.880000,2410852.190480,-3531259.327214,4716810.994563,257.514472,174.924159,-0.662898
1454839643.880000,2412139.603484,-3530384.471717,4716807.680410,257.450677,175.018039,-0.662738
1454839648.880000,2413426.697426,-3529509.146880,4716804.367053,257.386847,175.111895,-0.662578
1454839653.880000,2414713.472135,-3528633.352816,4716801.054495,257.322984,175.205729,-0.662419
1454839658.880000,2415999.927440,-3527757.089645,4716797.742736,257.259086,175.299539,-0.662259
1454839663.880000,2417286.063170,-3526880.357481,4716794.431776,257.195154,175.393326,-0.662099
1454839668.880000,2418571.879154,-3526003.156441,4716791.121615,257.131187,175.487089,-0.661939
1454839673.880000,2419857.375221,-3525125.486642,4716787.812254,257.067187,175.580829,-0.661779
1454839678.880000,2421142.551200,-3524247.348201,4716784.503693,257.003152,175.674546,-0.661619
1454839683.880000,2422427.406920,-3523368.741233,4716781.195933,256.939083,175.768239,-0.661459
1454839688.880000,2423711.942211,-3522489.665858,4716777.888975,256.874980,175.861910,-0.661299
1454839693.880000,2424996.156902,-3521610.122189,4716774.582818,256.810843,175.955556,-0.661138
1454839698.880000,2426280.050821,-3520730.110346,4716771.277463,256.746672,176.049180,-0.660978
1454839703.880000,2427563.623798,-3519849.630445,4716767.972911,256.682467,176.142780,-0.660817
1454839708.880000,2428846.875664,-3518968.682603,4716764.669161,256.618227,176.236356,-0.660657
1454839713.880000,2430129.806246,-3518087.266937,4716761.366215,256.553953,176.329909,-0.660496
1454839718.880000,2431412.415375,-3517205.383564,4716758.064073,256.489646,176.423439,-0.660335
1454839723.880000,2432694.702880,-3516323.032601,4716754.762736,256.425304,176.516945,-0.660174
1454839728.880000,2433976.668590,-3515440.214166,4716751.462203,256.360928,176.610428,-0.660013
1454839733.880000,2435258.312335,-3514556.928377,4716748.162475,256.296518,176.703887,-0.659852
1454839738.880000,2436539.633946,-3513673.175349,4716744.863553,256.232074,176.797323,-0.659691
1454839743.880000,2437820.633250,-3512788.955202,4716741.565437,256.167596,176.890735,-0.659530
1454839748.880000,2439101.310079,-3511904.268052,4716738.268127,256.103083,176.984124,-0.659368
1454839753.880000,2440381.664262,-3511019.114018,4716734.971625,256.038537,177.077489,-0.659207
1454839758.880000,2441661.695628,-3510133.493216,4716731.675929,255.973957,177.170830,-0.659045
1454839763.880000,2442941.404008,-3509247.405765,4716728.381042,255.909343,177.264149,-0.658884
1454839768.880000,2444220.789231,-3508360.851782,4716725.086963,255.844694,177.357443,-0.658722
1454839773.880000,2445499.851127,-3507473.831386,4716721.793692,255.780012,177.450714,-0.658560
1454839778.880000,2446778.589527,-3506586.344693,4716718.501231,255.715296,177.543961,-0.658398
1454839783.880000,2448057.004260,-3505698.391823,4716715.209579,255.650545,177.637185,-0.658236
1454839788.880000,2449335.095156,-3504809.972893,4716711.918737,255.585761,177.730385,-0.658074
1454839793.880000,2450612.862045,-3503921.088021,4716708.628706,255.520943,177.823562,-0.657912
1454839798.880000,2451890.304759,-3503031.737326,4716705.339485,255.456090,177.916715,-0.657750
1454839803.880000,2453167.423126,-3502141.920925,4716702.051076,255.391204,178.009844,-0.657588
1454839808.880000,2454444.216976,-3501251.638937,4716698.763479,255.326284,178.102950,-0.657425
1454839813.880000,2455720.686141,-3500360.891480,4716695.476694,255.261330,178.196032,-0.657263
1454839818.880000,2456996.830451,-3499469.678673,4716692.190721,255.196342,178.289090,-0.657100
1454839823.880000,2458272.649735,-3498578.000635,4716688.905562,255.131320,178.382124,-0.656937
1454839828.880000,2459548.143825,-3497685.857483,4716685.621216,255.066264,178.475135,-0.656775
1454839833.880000,2460823.312551,-3496793.249336,4716682.337683,255.001174,178.568122,-0.656612
1454839838.880000,2462098.155742,-3495900.176313,4716679.054966,254.936050,178.661086,-0.656449
1454839843.880000,2463372.673230,-3495006.638533,4716675.773063,254.870893,178.754025,-0.656286
1454839848.880000,2464646.864846,-3494112.636115,4716672.491975,254.805701,178.846941,-0.656123
1454839853.880000,2465920.730420,-3493218.169177,4716669.211703,254.740476,178.939833,-0.655960
1454839858.880000,2467194.269782,-3492323.237838,4716665.932247,254.675217,179.032701,-0.655796
1454839863.880000,2468467.482763,-3491427.842217,4716662.653608,254.609923,179.125546,-0.655633
1454839868.880000,2469740.369194,-3490531.982434,4716659.375786,254.544597,179.218366,-0.655470
1454839873.880000,2471012.928907,-3489635.658607,4716656.098781,254.479236,179.311163,-0.655306
1454839878.880000,2472285.161730,-3488738.870855,4716652.822594,254.413841,179.403936,-0.655142
1454839883.880000,2473557.067496,-3487841.619298,4716649.547225,254.348413,179.496685,-0.654979
1454839888.880000,2474828.646036,-3486943.904055,4716646.272675,254.282951,179.589411,-0.654815
1454839893.880000,2476099.897180,-3486045.725245,4716642.998944,254.217455,179.682112,-0.654651
1454839898.880000,2477370.820759,-3485147.082989,4716639.726033,254.151925,179.774789,-0.654487
1454839903.880000,2478641.416605,-3484247.977404,4716636.453942,254.086361,179.867443,-0.654323
1454839908.880000,2479911.684548,-3483348.408611,4716633.182671,254.020764,179.960073,-0.654159
1454839913.880000,2481181.624420,-3482448.376729,4716629.912222,253.955133,180.052679,-0.653995
1454839918.880000,2482451.236052,-3481547.881878,4716626.642593,253.889468,180.145260,-0.653830
