t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1460393715.985957,3152473.392767,-5070773.542918,2237557.998510,369.771168,229.462684,-0.956606
1460393805.985957,3185684.791755,-5050012.845791,2237472.072960,368.257279,231.884506,-0.952808
1460393895.985957,3218759.226460,-5029034.633391,2237386.491106,366.727528,234.296339,-0.948969
1460393985.985957,3251695.272315,-5007839.809281,2237301.256635,365.181982,236.698082,-0.945088
1460394075.985957,3284491.510712,-4986429.286355,2237216.373218,363.620707,239.089629,-0.941167
1460394165.985957,3317146.529068,-4964803.986797,2237131.844512,362.043770,241.470879,-0.937206
1460394255.985957,3349658.920881,-4942964.842042,2237047.674157,360.451239,243.841728,-0.933204
1460394345.985957,3382027.285790,-4920912.792737,2236963.865778,358.843184,246.202074,-0.929162
1460394435.985957,3414250.229642,-4898648.788698,2236880.422986,357.219672,248.551816,-0.925080
1460394525.985957,3446326.364542,-4876173.788868,2236797.349375,355.580774,250.890853,-0.920958
1460394615.985957,3478254.308923,-4853488.761282,2236714.648522,353.926561,253.219083,-0.916797
1460394705.985957,3510032.687599,-4830594.683019,2236632.323991,352.257104,255.536407,-0.912596
1460394795.985957,3541660.131826,-4807492.540162,2236550.379327,350.572474,257.842724,-0.908355
1460394885.985957,3573135.279361,-4784183.327757,2236468.818060,348.872745,260.137936,-0.904076
1460394975.985957,3604456.774519,-4760668.049767,2236387.643703,347.157989,262.421943,-0.899757
1460395065.985957,3635623.268237,-4736947.719031,2236306.859752,345.428281,264.694647,-0.895400
1460395155.985957,3666633.418125,-4713023.357221,2236226.469687,343.683694,266.955951,-0.891005
1460395245.985957,3697485.888528,-4688895.994797,2236146.476970,341.924305,269.205756,-0.886570
1460395335.985957,3728179.350582,-4664566.670961,2236066.885048,340.150188,271.443966,-0.882098
1460395425.985957,3758712.482272,-4640036.433615,2235987.697348,338.361420,273.670485,-0.877588
1460395515.985957,3789083.968490,-4615306.339314,2235908.917281,336.558079,275.885216,-0.873040
1460395605.985957,3819292.501087,-4590377.453222,2235830.548241,334.740242,278.088064,-0.868454
1460395695.985957,3849336.778936,-4565250.849064,2235752.593603,332.907987,280.278935,-0.863831
1460395785.985957,3879215.507983,-4539927.609083,2235675.056725,331.061393,282.457733,-0.859171
1460395875.985957,3908927.401305,-4514408.823989,2235597.940947,329.200539,284.624366,-0.854473
1460395965.985957,3938471.179166,-4488695.592916,2235521.249590,327.325507,286.778740,-0.849739
1460396055.985957,3967845.569067,-4462789.023373,2235444.985958,325.436376,288.920761,-0.844969
1460396145.985957,3997049.305810,-4436690.231196,2235369.153335,323.533228,291.050339,-0.840161
1460396235.985957,4026081.131544,-4410400.340500,2235293.754989,321.616145,293.167380,-0.835318
1460396325.985957,4054939.795824,-4383920.483632,2235218.794166,319.685210,295.271794,-0.830439
1460396415.985957,4083624.055661,-4357251.801120,2235144.274095,317.740505,297.363490,-0.825524
1460396505.985957,4112132.675580,-4330395.441625,2235070.197987,315.782114,299.442379,-0.820573
1460396595.985957,4140464.427672,-4303352.561893,2234996.569031,313.810123,301.508370,-0.815587
1460396685.985957,4168618.091644,-4276124.326702,2234923.390401,311.824615,303.561374,-0.810566
1460396775.985957,4196592.454873,-4248711.908815,2234850.665246,309.825676,305.601304,-0.805510
1460396865.985957,4224386.312461,-4221116.488927,2234778.396701,307.813392,307.628071,-0.800419
1460396955.985957,4251998.467283,-4193339.255614,2234706.587877,305.787851,309.641588,-0.795294
1460397045.985957,4279427.730041,-4165381.405287,2234635.241868,303.749139,311.641768,-0.790135
1460397135.985957,4306672.919314,-4137244.142133,2234564.361747,301.697344,313.628525,-0.784941
1460397225.985957,4333732.861610,-4108928.678066,2234493.950567,299.632554,315.601774,-0.779714
1460397315.985957,4360606.391414,-4080436.232679,2234424.011361,297.554859,317.561429,-0.774453
1460397405.985957,4387292.351243,-4051768.033185,2234354.547141,295.464347,319.507407,-0.769159
1460397495.985957,4413789.591692,-4022925.314368,2234285.560900,293.361110,321.439623,-0.763832
1460397585.985957,4440096.971481,-3993909.318528,2234217.055609,291.245237,323.357994,-0.758471
1460397675.985957,4466213.357513,-3964721.295429,2234149.034218,289.116819,325.262437,-0.753078
1460397765.985957,4492137.624914,-3935362.502245,2234081.499657,286.975949,327.152871,-0.747653
1460397855.985957,4517868.657085,-3905834.203504,2234014.454837,284.822718,329.029214,-0.742195
1460397945.985957,4543405.345752,-3876137.671036,2233947.902643,282.657220,330.891385,-0.736706
1460398035.985957,4568746.591009,-3846274.183916,2233881.845944,280.479547,332.739304,-0.731185
1460398125.985957,4593891.301370,-3816245.028411,2233816.287584,278.289793,334.572891,-0.725632
1460398215.985957,4618838.393813,-3786051.497924,2233751.230387,276.088053,336.392068,-0.720048
1460398305.985957,4643586.793829,-3755694.892937,2233686.677155,273.874422,338.196756,-0.714433
1460398395.985957,4668135.435465,-3725176.520955,2233622.630669,271.648994,339.986877,-0.708787
1460398485.985957,4692483.261373,-3694497.696452,2233559.093687,269.411866,341.762355,-0.703111
1460398575.985957,4716629.222856,-3663659.740813,2233496.068947,267.163134,343.523112,-0.697404
1460398665.985957,4740572.279908,-3632663.982276,2233433.559163,264.902895,345.269073,-0.691667
1460398755.985957,4764311.401266,-3601511.755876,2233371.567027,262.631246,347.000163,-0.685901
1460398845.985957,4787845.564449,-3570204.403389,2233310.095210,260.348285,348.716307,-0.680105
1460398935.985957,4811173.755803,-3538743.273270,2233249.146360,258.054111,350.417432,-0.674280
1460399025.985957,4834294.970548,-3507129.720598,2233188.723101,255.748821,352.103463,-0.668425
1460399115.985957,4857208.212817,-3475365.107020,2233128.828037,253.432517,353.774329,-0.662542
1460399205.985957,4879912.495701,-3443450.800685,2233069.463747,251.105296,355.429957,-0.656631
1460399295.985957,4902406.841291,-3411388.176192,2233010.632788,248.767260,357.070276,-0.650691
1460399385.985957,4924690.280723,-3379178.614529,2232952.337695,246.418509,358.695216,-0.644723
1460399475.985957,4946761.854212,-3346823.503011,2232894.580979,244.059145,360.304706,-0.638727
1460399565.985957,4968620.611102,-3314324.235223,2232837.365126,241.689268,361.898677,-0.632704
1460399655.985957,4990265.609903,-3281682.210958,2232780.692602,239.308982,363.477061,-0.626653
1460399745.985957,5011695.918331,-3248898.836159,2232724.565848,236.918388,365.039789,-0.620576
1460399835.985957,5032910.613350,-3215975.522857,2232668.987281,234.517590,366.586794,-0.614471
1460399925.985957,5053908.781210,-3182913.689110,2232613.959295,232.106691,368.118010,-0.608341
1460400015.985957,5074689.517487,-3149714.758942,2232559.484261,229.685794,369.633370,-0.602184
1460400105.985957,5095251.927122,-3116380.162283,2232505.564525,227.255005,371.132810,-0.596001
1460400195.985957,5115595.124462,-3082911.334906,2232452.202410,224.814427,372.616264,-0.589792
1460400285.985957,5135718.233292,-3049309.718364,2232399.400213,222.364167,374.083670,-0.583559
1460400375.985957,5155620.386880,-3015576.759932,2232347.160210,219.904328,375.534963,-0.577299
1460400465.985957,5175300.728009,-2981713.912540,2232295.484650,217.435019,376.970081,-0.571016
1460400555.985957,5194758.409016,-2947722.634713,2232244.375760,214.956343,378.388962,-0.564707
1460400645.985957,5213992.591829,-2913604.390509,2232193.835741,212.468410,379.791546,-0.558374
1460400735.985957,5233002.448001,-2879360.649452,2232143.866769,209.971325,381.177771,-0.552017
1460400825.985957,5251787.158749,-2844992.886475,2232094.470998,207.465196,382.547579,-0.545637
1460400915.985957,5270345.914986,-2810502.581850,2232045.650554,204.950131,383.900909,-0.539233
1460401005.985957,5288677.917358,-2775891.221127,2231997.407541,202.426239,385.237704,-0.532805
1460401095.985957,5306782.376277,-2741160.295072,2231949.744037,199.893628,386.557907,-0.526355
1460401185.985957,5324658.511956,-2706311.299599,2231902.662094,197.352408,387.861460,-0.519882
1460401275.985957,5342305.554443,-2671345.735709,2231856.163741,194.802687,389.148307,-0.513386
1460401365.985957,5359722.743651,-2636265.109423,2231810.250981,192.244575,390.418393,-0.506869
1460401455.985957,5376909.329395,-2601070.931717,2231764.925791,189.678184,391.671663,-0.500329
1460401545.985957,5393864.571424,-2565764.718459,2231720.190124,187.103622,392.908063,-0.493769
1460401635.985957,5410587.739447,-2530347.990343,2231676.045906,184.521002,394.127540,-0.487186
1460401725.985957,5427078.113172,-2494822.272822,2231632.495038,181.930434,395.330041,-0.480583
1460401815.985957,5443334.982334,-2459189.096044,2231589.539398,179.332030,396.515515,-0.473959
1460401905.985957,5459357.646724,-2423449.994784,2231547.180835,176.725902,397.683910,-0.467315
1460401995.985957,5475145.416220,-2387606.508382,2231505.421174,174.112162,398.835176,-0.460651
1460402085.985957,5490697.610820,-2351660.180671,2231464.262212,171.490923,399.969264,-0.453966
1460402175.985957,5506013.560667,-2315612.559916,2231423.705725,168.862298,401.086125,-0.447263
1460402265.985957,5521092.606077,-2279465.198743,2231383.753457,166.226399,402.185710,-0.440540
1460402355.985957,5535934.097574,-2243219.654076,2231344.407131,163.583341,403.267973,-0.433798
1460402445.985957,5550537.395912,-2206877.487066,2231305.668440,160.933237,404.332866,-0.427037
1460402535.985957,5564901.872104,-2170440.263027,2231267.539054,158.276201,405.380343,-0.420258
1460402625.985957,5579026.907450,-2133909.551366,2231230.020615,155.612348,406.410361,-0.413460
1460402715.985957,5592911.893562,-2097286.925518,2231193.114739,152.941793,407.422874,-0.406645
1460402805.985957,5606556.232393,-2060573.962875,2231156.823016,150.264650,408.417838,-0.399813
1460402895.985957,5619959.336260,-2023772.244723,2231121.147008,147.581035,409.395211,-0.392963
1460402985.985957,5633120.627870,-1986883.356168,2231086.088253,144.891063,410.354951,-0.386096
1460403075.985957,5646039.540347,-1949908.886071,2231051.648261,142.194851,411.297016,-0.379213
1460403165.985957,5658715.517253,-1912850.426981,2231017.828515,139.492514,412.221367,-0.372313
1460403255.985957,5671148.012613,-1875709.575062,2230984.630473,136.784169,413.127962,-0.365398
1460403345.985957,5683336.490942,-1838487.930029,2230952.055563,134.069933,414.016763,-0.358466
1460403435.985957,5695280.427262,-1801187.095075,2230920.105189,131.349922,414.887731,-0.351519
1460403525.985957,5706979.307129,-1763808.676806,2230888.780727,128.624253,415.740830,-0.344557
1460403615.985957,5718432.626655,-1726354.285167,2230858.083528,125.893045,416.576022,-0.337580
1460403705.985957,5729639.892528,-1688825.533378,2230828.014912,123.156414,417.393272,-0.330589
1460403795.985957,5740600.622033,-1651224.037859,2230798.576175,120.414479,418.192544,-0.323583
1460403885.985957,5751314.343074,-1613551.418166,2230769.768585,117.667357,418.973804,-0.316564
1460403975.985957,5761780.594196,-1575809.296916,2230741.593383,114.915167,419.737017,-0.309531
1460404065.985957,5771998.924600,-1537999.299722,2230714.051783,112.158027,420.482153,-0.302484
1460404155.985957,5781968.894167,-1500123.055118,2230687.144971,109.396057,421.209177,-0.295425
1460404245.985957,5791690.073475,-1462182.194492,2230660.874106,106.629374,421.918059,-0.288352
1460404335.985957,5801162.043819,-1424178.352017,2230635.240320,103.858099,422.608769,-0.281267
1460404425.985957,5810384.397224,-1386113.164577,2230610.244716,101.082351,423.281276,-0.274171
1460404515.985957,5819356.736471,-1347988.271699,2230585.888371,98.302249,423.935551,-0.267062
1460404605.985957,5828078.675107,-1309805.315480,2230562.172336,95.517913,424.571567,-0.259942
1460404695.985957,5836549.837465,-1271565.940519,2230539.097630,92.729463,425.189297,-0.252810
1460404785.985957,5844769.858677,-1233271.793847,2230516.665248,89.937019,425.788712,-0.245668
1460404875.985957,5852738.384697,-1194924.524851,2230494.876157,87.140701,426.369789,-0.238515
1460404965.985957,5860455.072305,-1156525.785207,2230473.731295,84.340630,426.932500,-0.231352
1460405055.985957,5867919.589134,-1118077.228808,2230453.231572,81.536926,427.476824,-0.224179
1460405145.985957,5875131.613674,-1079580.511694,2230433.377872,78.729710,428.002735,-0.216997
1460405235.985957,5882090.835293,-1041037.291978,2230414.171050,75.919103,428.510211,-0.209804
1460405325.985957,5888796.954247,-1002449.229775,2230395.611933,73.105226,428.999231,-0.202603
1460405415.985957,5895249.681691,-963817.987134,2230377.701321,70.288201,429.469773,-0.195394
1460405505.985957,5901448.739698,-925145.227962,2230360.439986,67.468148,429.921817,-0.188175
1460405595.985957,5907393.861264,-886432.617954,2230343.828670,64.645189,430.355344,-0.180949
1460405685.985957,5913084.790323,-847681.824523,2230327.868089,61.819446,430.770335,-0.173715
1460405775.985957,5918521.281759,-808894.516725,2230312.558931,58.991040,431.166771,-0.166473
1460405865.985957,5923703.101414,-770072.365190,2230297.901856,56.160093,431.544637,-0.159224
1460405955.985957,5928630.026098,-731217.042048,2230283.897494,53.326727,431.903916,-0.151969
1460406045.985957,5933301.843601,-692330.220858,2230270.546449,50.491065,432.244591,-0.144707
1460406135.985957,5937718.352701,-653413.576536,2230257.849296,47.653228,432.566649,-0.137438
1460406225.985957,5941879.363172,-614468.785281,2230245.806582,44.813338,432.870076,-0.130164
1460406315.985957,5945784.695793,-575497.524506,2230234.418826,41.971518,433.154859,-0.122884
