t_gps_s,r_x,r_y,r_z,v_x,v_y,v_z
1461956991.408,4559.506779783076,4779.170760491751,-3169.8392813349838,1.288067172193223,3.118272032314053,6.560894919750808
1461956996.408,4565.889323284699,4794.701541707137,-3136.994640507526,1.2649419406770903,3.09401019017605,6.576916738947602
1461957001.408,4572.156158399088,4810.110815597397,-3104.070306908172,1.2417839689069297,3.069669221188633,6.592771944808646
1461957006.408,4578.30712289506,4825.398188070633,-3071.0671146429127,1.2185938455522773,3.045249742570377,6.608460121828102
1461957011.408,4584.3420574894535,4840.563268124196,-3037.985899884423,1.1953721611889705,3.020752372761308,6.623980858763844
1461957016.408,4590.260805853509,4855.605667853478,-3004.827500851122,1.172119505914452,2.9961777336257,6.639333748658828
1461957021.408,4596.063214614294,4870.5250024656525,-2971.592757785332,1.1488364730885223,2.9715264469277827,6.654518388836095
1461957026.408,4601.74913336327,4885.320890286074,-2938.2825129321895,1.1255236548886387,2.9467991384608467,6.669534380931509
1461957031.408,4607.318414655684,4899.9929527738295,-2904.897610517514,1.102181644346274,2.9219964361218445,6.684381330901033
1461957036.408,4612.7709140196675,4914.540814526864,-2871.4388967272366,1.0788110371750008,2.897118968151517,6.699058849018456
1461957041.408,4618.10648995723,4928.964103296062,-2837.907219684522,1.055412428235286,2.872167366405847,6.713566549912684
1461957046.408,4623.3250039501045,4943.262449993415,-2804.3034294287154,1.0319864142120423,2.84714226385222,6.72790405256228
1461957051.408,4628.426320463021,4957.4354887029995,-2770.628377893322,1.008533591599189,2.822044296387503,6.742070980309109
1461957056.408,4633.410306948416,4971.482856690276,-2736.8829188842665,0.9850545588169553,2.796874100853529,6.7560669608824355
1461957061.408,4638.276833849456,4985.404194412776,-2703.067908058018,0.9615499140763859,2.771632316979776,6.769891626399385
1461957066.408,4643.025774604283,4999.199145529927,-2669.184202899097,0.9380202567590459,2.746319586077334,6.783544613376762
1461957071.408,4647.657005650593,5012.8673569114835,-2635.2326626989234,0.9144661872905999,2.720936551129853,6.797025562747876
1461957076.408,4652.1704064274745,5026.40847864939,-2601.2141485329867,0.8908883069634612,2.6954838569163257,6.810334119874369
1461957081.408,4656.5658593816715,5039.822164064804,-2567.129523238772,0.8672872156312224,2.6699621521074732,6.823469934560762
1461957086.408,4660.84324996689,5053.108069721256,-2532.979651394022,0.8436635174230105,2.644372083956114,6.836432661045819
1461957091.408,4665.002466653107,5066.265855429095,-2498.765399293688,0.8200178142833465,2.618714304250716,6.849221958046655
1461957096.408,4669.043400923717,5079.295184260012,-2464.487634928519,0.7963507103968368,2.592989465176288,6.861837488738729
1461957101.408,4672.965947284303,5092.195722551785,-2430.147227961723,0.7726628097407229,2.567198221549006,6.874278920787674
1461957106.408,4676.770003260915,5104.967139921411,-2395.745049707517,0.7489547167624551,2.5413412301495555,6.886545926352483
