t_gps,x,y,z,vx,vy,vz
1443543973.0,-147229952.9419354,-24693026.1763774,-10703314.28633375,5.848845614614192,-26.77331372552658,-11.604606836045491
1443543974.0,-147229947.09598935,-24693052.950189922,-10703325.891157484,5.848851414543232,-26.773312729561304,-11.604606402951974
1443543975.0,-147229941.25003755,-24693079.724001437,-10703337.49598078,5.8488572144720345,-26.77331173359501,-11.604605969858032
1443543976.0,-147229935.40407997,-24693106.497811973,-10703349.100803649,5.848863014400597,-26.773310737627718,-11.604605536763659
1443543977.0,-147229929.55811656,-24693133.2716215,-10703360.705626082,5.84886881432892,-26.773309741659407,-11.604605103668858
1443543978.0,-147229923.71214733,-24693160.045430046,-10703372.310448084,5.848874614257007,-26.773308745690084,-11.604604670573623
1443543979.0,-147229917.86617237,-24693186.81923759,-10703383.915269652,5.8488804141848565,-26.77330774971976,-11.604604237477963
1443543980.0,-147229912.02019155,-24693213.593044136,-10703395.520090787,5.848886214112465,-26.773306753748425,-11.604603804381872
1443543981.0,-147229906.17420498,-24693240.366849694,-10703407.124911493,5.848892014039835,-26.773305757776075,-11.60460337128535
1443543982.0,-147229900.32821256,-24693267.140654244,-10703418.729731759,5.848897813966968,-26.773304761802716,-11.6046029381884
1443543983.0,-147229894.48221436,-24693293.914457794,-10703430.334551595,5.84890361389386,-26.773303765828356,-11.604602505091021
1443543984.0,-147229888.63621035,-24693320.688260373,-10703441.939371001,5.8489094138205155,-26.77330276985297,-11.604602071993213
1443543985.0,-147229882.79020056,-24693347.462061938,-10703453.54418997,5.848915213746932,-26.77330177387659,-11.604601638894973
1443543986.0,-147229876.94418496,-24693374.235862516,-10703465.14900851,5.8489210136731105,-26.773300777899195,-11.604601205796305
1443543987.0,-147229871.09816357,-24693401.009662088,-10703476.753826614,5.848926813599051,-26.773299781920787,-11.604600772697207
1443543988.0,-147229865.25213635,-24693427.783460677,-10703488.358644286,5.848932613524751,-26.773298785941375,-11.604600339597683
1443543989.0,-147229859.40610334,-24693454.557258263,-10703499.963461524,5.848938413450213,-26.773297789960957,-11.604599906497727
1443543990.0,-147229853.56006455,-24693481.331054855,-10703511.568278333,5.848944213375438,-26.773296793979522,-11.604599473397338
1443543991.0,-147229847.71401998,-24693508.104850452,-10703523.173094707,5.8489500133004215,-26.77329579799708,-11.604599040296524
1443543992.0,-147229841.86796957,-24693534.878645055,-10703534.777910648,5.848955813225169,-26.773294802013623,-11.60459860719528
1443543993.0,-147229836.02191338,-24693561.65243866,-10703546.382726157,5.848961613149676,-26.77329380602916,-11.604598174093606
1443543994.0,-147229830.17585135,-24693588.426231276,-10703557.987541229,5.848967413073947,-26.77329281004368,-11.604597740991503
1443543995.0,-147229824.3297836,-24693615.20002289,-10703569.592355877,5.848973212997977,-26.773291814057206,-11.60459730788897
1443543996.0,-147229818.48370993,-24693641.973813508,-10703581.197170082,5.84897901292177,-26.773290818069714,-11.604596874786008
1443543997.0,-147229812.63763058,-24693668.747603133,-10703592.801983856,5.848984812845325,-26.773289822081225,-11.604596441682615
1443543998.0,-147229806.79154536,-24693695.521391768,-10703604.4067972,5.848990612768639,-26.77328882609171,-11.604596008578794
1443543999.0,-147229800.94545436,-24693722.29517939,-10703616.01161011,5.848996412691715,-26.77328783010119,-11.60459557547454
1443544000.0,-147229795.09935758,-24693749.06896604,-10703627.616422592,5.849002212614553,-26.773286834109662,-11.604595142369863
1443544001.0,-147229789.25325498,-24693775.842751678,-10703639.221234633,5.849008012537155,-26.77328583811713,-11.60459470926475
1443544002.0,-147229783.40714657,-24693802.61653632,-10703650.826046245,5.849013812459516,-26.773284842123573,-11.604594276159212
1443544003.0,-147229777.56103235,-24693829.39031997,-10703662.430857427,5.849019612381638,-26.773283846129015,-11.604593843053243
1443544004.0,-147229771.71491235,-24693856.16410263,-10703674.035668172,5.849025412303522,-26.773282850133455,-11.604593409946846
1443544005.0,-147229765.86878657,-24693882.937884293,-10703685.640478482,5.849031212225168,-26.77328185413687,-11.604592976840017
1443544006.0,-147229760.02265498,-24693909.71166496,-10703697.245288368,5.849037012146575,-26.77328085813929,-11.604592543732759
1443544007.0,-147229754.17651755,-24693936.48544462,-10703708.85009781,5.849042812067744,-26.773279862140694,-11.60459211062507
1443544008.0,-147229748.3303744,-24693963.259223297,-10703720.45490683,5.849048611988673,-26.773278866141087,-11.604591677516959
1443544009.0,-147229742.48422536,-24693990.033000972,-10703732.059715407,5.849054411909365,-26.773277870140465,-11.604591244408413
1443544010.0,-147229736.63807055,-24694016.806777656,-10703743.664523559,5.849060211829817,-26.77327687413884,-11.604590811299436
1443544011.0,-147229730.79190996,-24694043.58055334,-10703755.269331275,5.849066011750032,-26.77327587813621,-11.604590378190029
1443544012.0,-147229724.94574356,-24694070.354328036,-10703766.874138555,5.849071811670008,-26.773274882132572,-11.604589945080198
1443544013.0,-147229719.09957138,-24694097.128101744,-10703778.47894541,5.849077611589744,-26.773273886127914,-11.604589511969934
1443544014.0,-147229713.25339338,-24694123.90187444,-10703790.083751822,5.849083411509244,-26.773272890122254,-11.604589078859242
1443544015.0,-147229707.40720958,-24694150.67564614,-10703801.68855781,5.849089211428503,-26.773271894115577,-11.604588645748118
1443544016.0,-147229701.56101993,-24694177.44941685,-10703813.293363353,5.849095011347525,-26.7732708981079,-11.604588212636566
1443544017.0,-147229695.71482456,-24694204.223186567,-10703824.89816848,5.849100811266307,-26.773269902099212,-11.604587779524584
1443544018.0,-147229689.86862335,-24694230.996955287,-10703836.502973162,5.849106611184853,-26.773268906089513,-11.604587346412176
1443544019.0,-147229684.02241635,-24694257.770723008,-10703848.107777419,5.849112411103159,-26.7732679100788,-11.60458691329933
1443544020.0,-147229678.17620355,-24694284.544489738,-10703859.712581236,5.849118211021227,-26.773266914067083,-11.604586480186065
1443544021.0,-147229672.329985,-24694311.318255477,-10703871.317384623,5.849124010939056,-26.773265918054346,-11.604586047072363
1443544022.0,-147229666.48376057,-24694338.092020206,-10703882.92218758,5.849129810856647,-26.773264922040607,-11.604585613958239
1443544023.0,-147229660.6375304,-24694364.86578396,-10703894.5269901,5.849135610773997,-26.773263926025855,-11.604585180843678
1443544024.0,-147229654.79129437,-24694391.639546704,-10703906.131792188,5.849141410691112,-26.773262930010105,-11.604584747728689
1443544025.0,-147229648.94505256,-24694418.413308453,-10703917.73659384,5.849147210607986,-26.77326193399334,-11.604584314613271
1443544026.0,-147229643.09880495,-24694445.1870692,-10703929.341395063,5.849153010524621,-26.773260937975557,-11.604583881497428
1443544027.0,-147229637.25255153,-24694471.96082896,-10703940.946195854,5.849158810441019,-26.77325994195677,-11.604583448381153
1443544028.0,-147229631.40629235,-24694498.73458773,-10703952.550996212,5.849164610357177,-26.77325894593697,-11.604583015264444
1443544029.0,-147229625.56002736,-24694525.50834549,-10703964.155796133,5.8491704102731,-26.773257949916168,-11.604582582147309
1443544030.0,-147229619.71375656,-24694552.28210227,-10703975.760595625,5.849176210188782,-26.773256953894357,-11.604582149029746
1443544031.0,-147229613.86747992,-24694579.055858046,-10703987.365394684,5.849182010104224,-26.773255957871527,-11.604581715911753
1443544032.0,-147229608.02119756,-24694605.829612825,-10703998.970193308,5.849187810019429,-26.77325496184769,-11.604581282793328
1443544033.0,-147229602.17490935,-24694632.603366613,-10704010.5749915,5.849193609934395,-26.77325396582285,-11.604580849674473
1443544034.0,-147229596.32861534,-24694659.3771194,-10704022.179789258,5.849199409849123,-26.773252969796996,-11.60458041655519
1443544035.0,-147229590.48231554,-24694686.1508712,-10704033.784586584,5.849205209763613,-26.773251973770133,-11.604579983435478
1443544036.0,-147229584.63600996,-24694712.924622003,-10704045.38938348,5.849211009677863,-26.773250977742265,-11.604579550315336
1443544037.0,-147229578.78969854,-24694739.698371798,-10704056.99417994,5.849216809591875,-26.773249981713374,-11.604579117194769
1443544038.0,-147229572.94338137,-24694766.472120613,-10704068.59897597,5.849222609505649,-26.773248985683484,-11.60457868407377
1443544039.0,-147229567.09705833,-24694793.245868426,-10704080.203771561,5.849228409419184,-26.77324798965258,-11.604578250952336
1443544040.0,-147229561.25072956,-24694820.019615244,-10704091.808566727,5.849234209332481,-26.773246993620678,-11.604577817830478
1443544041.0,-147229555.40439492,-24694846.793361068,-10704103.413361453,5.8492400092455386,-26.77324599758775,-11.60457738470819
1443544042.0,-147229549.55805454,-24694873.567105897,-10704115.01815575,5.849245809158358,-26.773245001553825,-11.604576951585472
1443544043.0,-147229543.71170834,-24694900.34084972,-10704126.62294961,5.849251609070939,-26.773244005518883,-11.604576518462325
1443544044.0,-147229537.86535636,-24694927.114592563,-10704138.22774304,5.849257408983282,-26.773243009482933,-11.604576085338746
1443544045.0,-147229532.01899853,-24694953.888334405,-10704149.83253604,5.849263208895386,-26.77324201344597,-11.60457565221474
1443544046.0,-147229526.17263496,-24694980.662075244,-10704161.437328607,5.8492690088072505,-26.773241017408008,-11.604575219090304
1443544047.0,-147229520.3262655,-24695007.435815092,-10704173.042120732,5.849274808718877,-26.77324002136903,-11.604574785965438
1443544048.0,-147229514.47989032,-24695034.209553942,-10704184.646912433,5.8492806086302656,-26.773239025329044,-11.604574352840142
1443544049.0,-147229508.63350934,-24695060.983291805,-10704196.251703702,5.849286408541415,-26.77323802928804,-11.604573919714419
1443544050.0,-147229502.78712255,-24695087.75702867,-10704207.856494535,5.849292208452326,-26.77323703324604,-11.604573486588263
1443544051.0,-147229496.94072995,-24695114.530764528,-10704219.461284932,5.849298008362998,-26.773236037203027,-11.604573053461682
1443544052.0,-147229491.09433156,-24695141.304499414,-10704231.0660749,5.849303808273433,-26.773235041159,-11.604572620334668
1443544053.0,-147229485.2479273,-24695168.07823328,-10704242.67086443,5.8493096081836295,-26.773234045113966,-11.604572187207225
1443544054.0,-147229479.40151733,-24695194.851966165,-10704254.27565354,5.849315408093585,-26.773233049067912,-11.604571754079354
1443544055.0,-147229473.55510154,-24695221.625698052,-10704265.880442202,5.849321208003302,-26.773232053020863,-11.604571320951054
1443544056.0,-147229467.70867997,-24695248.399428945,-10704277.485230438,5.849327007912785,-26.773231056972797,-11.604570887822321
1443544057.0,-147229461.86225253,-24695275.17315883,-10704289.090018243,5.849332807822025,-26.773230060923723,-11.60457045469316
1443544058.0,-147229456.01581934,-24695301.94688773,-10704300.69480561,5.849338607731027,-26.773229064873647,-11.604570021563573
1443544059.0,-147229450.16938037,-24695328.720615637,-10704312.299592549,5.849344407639791,-26.773228068822547,-11.604569588433554
1443544060.0,-147229444.32293555,-24695355.49434254,-10704323.90437905,5.8493502075483175,-26.773227072770446,-11.604569155303107
1443544061.0,-147229438.47648492,-24695382.26806845,-10704335.509165123,5.8493560074566044,-26.77322607671734,-11.604568722172226
1443544062.0,-147229432.63002855,-24695409.04179337,-10704347.11395076,5.8493618073646525,-26.773225080663217,-11.60456828904092
1443544063.0,-147229426.7835664,-24695435.81551729,-10704358.718735965,5.8493676072724625,-26.773224084608085,-11.604567855909183
1443544064.0,-147229420.93709835,-24695462.58924021,-10704370.323520737,5.849373407180034,-26.773223088551944,-11.604567422777016
1443544065.0,-147229415.09062454,-24695489.36296215,-10704381.928305075,5.849379207087367,-26.773222092494795,-11.604566989644422
1443544066.0,-147229409.24414495,-24695516.13668307,-10704393.53308898,5.849385006994461,-26.77322109643664,-11.604566556511392
1443544067.0,-147229403.39765954,-24695542.910403017,-10704405.137872456,5.849390806901318,-26.77322010037747,-11.604566123377941
1443544068.0,-147229397.55116832,-24695569.684121955,-10704416.742655497,5.849396606807935,-26.77321910431729,-11.604565690244055
1443544069.0,-147229391.70467132,-24695596.457839906,-10704428.347438104,5.849402406714312,-26.773218108256096,-11.604565257109742
1443544070.0,-147229385.8581685,-24695623.231556855,-10704439.952220276,5.849408206620453,-26.773217112193908,-11.604564823974998
1443544071.0,-147229380.01165992,-24695650.005272817,-10704451.55700202,5.849414006526355,-26.773216116130698,-11.604564390839826
1443544072.0,-147229374.1651455,-24695676.778987776,-10704463.16178333,5.849419806432017,-26.773215120066485,-11.604563957704226
1443544073.0,-147229368.31862533,-24695703.55270174,-10704474.7665642,5.849425606337442,-26.773214124001253,-11.604563524568192
1443544074.0,-147229362.47209933,-24695730.32641472,-10704486.371344646,5.849431406242627,-26.773213127935012,-11.604563091431732
1443544075.0,-147229356.62556756,-24695757.100126687,-10704497.976124655,5.8494372061475755,-26.773212131867773,-11.604562658294842
1443544076.0,-147229350.77902994,-24695783.873837657,-10704509.580904232,5.849443006052285,-26.773211135799514,-11.604562225157522
1443544077.0,-147229344.93248653,-24695810.64754765,-10704521.185683377,5.849448805956754,-26.773210139730256,-11.604561792019771
1443544078.0,-147229339.08593735,-24695837.42125664,-10704532.79046209,5.849454605860986,-26.773209143659976,-11.604561358881595
1443544079.0,-147229333.23938233,-24695864.19496463,-10704544.395240366,5.84946040576498,-26.773208147588697,-11.604560925742984
1443544080.0,-147229327.39282152,-24695890.96867162,-10704556.000018213,5.849466205668733,-26.773207151516406,-11.604560492603946
1443544081.0,-147229321.5462549,-24695917.74237762,-10704567.604795622,5.849472005572249,-26.773206155443102,-11.604560059464479
1443544082.0,-147229315.69968253,-24695944.516082622,-10704579.209572602,5.849477805475527,-26.77320515936879,-11.604559626324582
1443544083.0,-147229309.85310435,-24695971.289786633,-10704590.814349148,5.849483605378566,-26.773204163293467,-11.604559193184256
1443544084.0,-147229304.00652033,-24695998.063489653,-10704602.419125265,5.849489405281366,-26.77320316721714,-11.604558760043501
1443544085.0,-147229298.15993056,-24696024.83719167,-10704614.023900945,5.849495205183928,-26.773202171139797,-11.604558326902314
1443544086.0,-147229292.3133349,-24696051.610892694,-10704625.628676193,5.849501005086252,-26.77320117506145,-11.6045578937607
1443544087.0,-147229286.46673355,-24696078.384592727,-10704637.233451009,5.849506804988338,-26.773200178982083,-11.604557460618658
1443544088.0,-147229280.62012634,-24696105.158291757,-10704648.838225387,5.849512604890184,-26.773199182901724,-11.604557027476185
1443544089.0,-147229274.77351335,-24696131.931989793,-10704660.442999337,5.849518404791792,-26.77319818682034,-11.60455659433328
1443544090.0,-147229268.92689452,-24696158.705686823,-10704672.047772853,5.849524204693159,-26.77319719073795,-11.604556161189945
